Country,Indicator,Value
Africa,Life expectancy (at birth) (FEMALE),54.30957
Argentina,Life expectancy (at birth) (FEMALE),79.50281
Bhutan,Life expectancy (at birth) (FEMALE),66.59171
Latvia,Life expectancy (at birth) (FEMALE),79.83988
Côte d'Ivoire,Life expectancy (at birth) (FEMALE),65.81046
Latvia,Life expectancy (at birth) (FEMALE),75.56256
Georgia,Life expectancy (at birth) (FEMALE),77.76276
Iraq,Life expectancy (at birth) (FEMALE),72.79007
Thailand,Life expectancy (at birth) (FEMALE),81.0434
Greece,Life expectancy (at birth) (FEMALE),82.70878
Sudan,Life expectancy (at birth) (FEMALE),68.41431
Costa Rica,Life expectancy (at birth) (FEMALE),83.43867
Republic of Moldova,Life expectancy (at birth) (FEMALE),70.52967
Latvia,Life expectancy (at birth) (FEMALE),77.78358
United Arab Emirates,Life expectancy (at birth) (FEMALE),78.42261
Burkina Faso,Life expectancy (at birth) (FEMALE),53.14076
Gabon,Life expectancy (at birth) (FEMALE),60.10243
Colombia,Life expectancy (at birth) (FEMALE),77.84826
Niger,Life expectancy (at birth) (FEMALE),62.86394
Malaysia,Life expectancy (at birth) (FEMALE),77.13223
Mali,Life expectancy (at birth) (FEMALE),59.49127
Ireland,Life expectancy (at birth) (FEMALE),83.47723
Kiribati,Life expectancy (at birth) (FEMALE),61.39478
Georgia,Life expectancy (at birth) (FEMALE),73.13734
Japan,Life expectancy (at birth) (FEMALE),87.15803528
Jordan,Life expectancy (at birth) (FEMALE),76.98049927
Kazakhstan,Life expectancy (at birth) (FEMALE),73.93874359
Kenya,Life expectancy (at birth) (FEMALE),69.21556854
Kiribati,Life expectancy (at birth) (FEMALE),63.95899963
Kuwait,Life expectancy (at birth) (FEMALE),81.75064087
Kyrgyzstan,Life expectancy (at birth) (FEMALE),75.75667572
Lao People's Democratic Republic,Life expectancy (at birth) (FEMALE),70.50985718
Latvia,Life expectancy (at birth) (FEMALE),77.89727783
Lebanon,Life expectancy (at birth) (FEMALE),77.49569702
Lesotho,Life expectancy (at birth) (FEMALE),54.60295105
Liberia,Life expectancy (at birth) (FEMALE),64.26883698
Libya,Life expectancy (at birth) (FEMALE),74.21006775
Lithuania,Life expectancy (at birth) (FEMALE),78.64626312
Zambia,Life expectancy (at birth) (FEMALE),63.02472
Africa,Life expectancy (at birth) (FEMALE),61.31003
Indonesia,Life expectancy (at birth) (FEMALE),70.17754364
Iran (Islamic Republic of),Life expectancy (at birth) (FEMALE),76.40135956
Finland,Life expectancy (at birth) (FEMALE),84.06163788
France,Life expectancy (at birth) (FEMALE),84.68614197
Gabon,Life expectancy (at birth) (FEMALE),67.9184494
Gambia,Life expectancy (at birth) (FEMALE),66.26215363
Georgia,Life expectancy (at birth) (FEMALE),75.59980774
Germany,Life expectancy (at birth) (FEMALE),82.85917664
Afghanistan,Life expectancy (at birth) (FEMALE),60.98603821
Africa,Life expectancy (at birth) (FEMALE),65.37137604
Albania,Life expectancy (at birth) (FEMALE),78.61238861
Romania,Life expectancy (at birth) (FEMALE),77.43354
Cabo Verde,Life expectancy (at birth) (FEMALE),74.61189
Austria,Life expectancy (at birth) (FEMALE),83.78033
Mauritania,Life expectancy (at birth) (FEMALE),67.69135
India,Life expectancy (at birth) (FEMALE),70.61754
Guinea-Bissau,Life expectancy (at birth) (FEMALE),57.6849
Niger,Life expectancy (at birth) (FEMALE),60.1945
Peru,Life expectancy (at birth) (FEMALE),75.93781
Philippines,Life expectancy (at birth) (FEMALE),73.51962
Mexico,Life expectancy (at birth) (FEMALE),78.60807
Montenegro,Life expectancy (at birth) (FEMALE),77.12196
Nicaragua,Life expectancy (at birth) (FEMALE),75.66858
Iran (Islamic Republic of),Life expectancy (at birth) (FEMALE),79.09346
Ghana,Life expectancy (at birth) (FEMALE),68.6049881
World,Life expectancy (at birth) (FEMALE),73.95752716
Greece,Life expectancy (at birth) (FEMALE),81.95119476
Grenada,Life expectancy (at birth) (FEMALE),75.20123291
Guatemala,Life expectancy (at birth) (FEMALE),71.89797211
Guinea,Life expectancy (at birth) (FEMALE),62.47833633
Guinea-Bissau,Life expectancy (at birth) (FEMALE),61.10224915
Guyana,Life expectancy (at birth) (FEMALE),69.31385803
Haiti,Life expectancy (at birth) (FEMALE),63.20708466
Jordan,Life expectancy (at birth) (MALE),75.5889
Guinea,Life expectancy (at birth) (MALE),57.27705
Samoa,Life expectancy (at birth) (MALE),68.67957
United States of America,Life expectancy (at birth) (MALE),74.12286
Germany,Life expectancy (at birth) (MALE),78.11604
Namibia,Life expectancy (at birth) (MALE),57.25439
Libya,Life expectancy (at birth) (MALE),74.79205
Iran (Islamic Republic of),Life expectancy (at birth) (MALE),73.86848
Côte d'Ivoire,Life expectancy (at birth) (MALE),60.52891
North Macedonia,Life expectancy (at birth) (MALE),68.85978
United Republic of Tanzania,Life expectancy (at birth) (MALE),60.01528
Saint Lucia,Life expectancy (at birth) (MALE),71.82034
Costa Rica,Life expectancy (at birth) (MALE),78.31458
Viet Nam,Life expectancy (at birth) (MALE),68.41575
Montenegro,Life expectancy (at birth) (MALE),72.83126
Angola,Life expectancy (at birth) (MALE),59.13242
Mexico,Life expectancy (at birth) (MALE),73.12539
Mongolia,Life expectancy (at birth) (MALE),63.82064
Bangladesh,Life expectancy (at birth) (MALE),72.49697
Lithuania,Life expectancy (at birth) (MALE),69.09326
Europe,Life expectancy (at birth) (MALE),68.44017
Afghanistan,Life expectancy (at birth) (MALE),61.03658
Uruguay,Life expectancy (at birth) (MALE),73.47769
Trinidad and Tobago,Life expectancy (at birth) (FEMALE),79.92052
Greece,Life expectancy (at birth) (FEMALE),80.89335
Eswatini,Life expectancy (at birth) (FEMALE),63.18209
Sweden,Life expectancy (at birth) (FEMALE),83.49753
Democratic Republic of the Congo,Life expectancy (at birth) (FEMALE),62.73359
Belize,Life expectancy (at birth) (FEMALE),77.29343
Guinea-Bissau,Life expectancy (at birth) (FEMALE),60.81285
Afghanistan,Life expectancy (at birth) (FEMALE),55.41726
Malaysia,Life expectancy (at birth) (FEMALE),75.30944
Uzbekistan,Life expectancy (at birth) (FEMALE),75.21384
Lower-middle-income economies,Life expectancy (at birth) (FEMALE),71.27921
Kenya,Life expectancy (at birth) (FEMALE),54.91045
Iran (Islamic Republic of),Life expectancy (at birth) (FEMALE),78.01184
Iran (Islamic Republic of),Life expectancy (at birth) (FEMALE),78.51698
Fiji,Life expectancy (at birth) (FEMALE),70.07651
Slovenia,Life expectancy (at birth) (MALE),72.18355
Guinea-Bissau,Life expectancy (at birth) (MALE),53.04755
Poland,Life expectancy (at birth) (MALE),73.36466
Liberia,Life expectancy (at birth) (MALE),63.15286
Kuwait,Life expectancy (at birth) (MALE),79.4603
Côte d'Ivoire,Life expectancy (at birth) (MALE),48.9357
Low-income economies,Life expectancy (at birth) (MALE),52.24722
Guyana,Life expectancy (at birth) (MALE),59.81106
Indonesia,Life expectancy (at birth) (MALE),69.40128
Syrian Arab Republic,Life expectancy (at birth) (MALE),60.87939
Thailand,Life expectancy (at birth) (MALE),74.36266
Paraguay,Life expectancy (at birth) (MALE),72.4676
Myanmar,Life expectancy (at birth) (MALE),64.71030426
Namibia,Life expectancy (at birth) (MALE),57.26867294
Nepal,Life expectancy (at birth) (MALE),68.26541138
Iraq,Life expectancy (at birth) (MALE),68.88970947
Djibouti,Life expectancy (at birth) (FEMALE),61.96137
Azerbaijan,Life expectancy (at birth) (FEMALE),68.4967
Lithuania,Life expectancy (at birth) (FEMALE),79.47274
North Macedonia,Life expectancy (at birth) (FEMALE),75.39911
Suriname,Life expectancy (at birth) (FEMALE),74.63403
Eswatini,Life expectancy (at birth) (FEMALE),58.70752
Poland,Life expectancy (at birth) (FEMALE),80.37245
Australia,Life expectancy (at birth) (FEMALE),82.24073
Netherlands (Kingdom of the),Life expectancy (at birth) (FEMALE),80.39158
Libya,Life expectancy (at birth) (FEMALE),77.3446
Americas,Life expectancy (at birth) (FEMALE),77.09953
Viet Nam,Life expectancy (at birth) (FEMALE),75.60954
Burkina Faso,Life expectancy (at birth) (FEMALE),65.22655
Guyana,Life expectancy (at birth) (FEMALE),69.22475
Haiti,Life expectancy (at birth) (FEMALE),64.75906
Denmark,Life expectancy (at birth) (FEMALE),83.02058
Ireland,Life expectancy (at birth) (MALE),79.86626434
Israel,Life expectancy (at birth) (MALE),82.38661957
Italy,Life expectancy (at birth) (MALE),79.97563171
Jamaica,Life expectancy (at birth) (MALE),67.6437912
Japan,Life expectancy (at birth) (MALE),81.70918274
Jordan,Life expectancy (at birth) (MALE),74.56877899
Kazakhstan,Life expectancy (at birth) (MALE),66.36555481
Kenya,Life expectancy (at birth) (MALE),64.39587402
Kiribati,Life expectancy (at birth) (MALE),57.7769928
Kuwait,Life expectancy (at birth) (MALE),77.31715393
Kyrgyzstan,Life expectancy (at birth) (MALE),68.53290558
Lao People's Democratic Republic,Life expectancy (at birth) (MALE),66.0894165
Latvia,Life expectancy (at birth) (MALE),68.49511719
Lebanon,Life expectancy (at birth) (MALE),71.24979401
Lesotho,Life expectancy (at birth) (MALE),48.73088074
Liberia,Life expectancy (at birth) (MALE),62.64177322
Equatorial Guinea,Life expectancy (at birth) (FEMALE),63.57852
Central African Republic,Life expectancy (at birth) (FEMALE),45.52407
Russian Federation,Life expectancy (at birth) (FEMALE),76.60394
World,Life expectancy (at birth) (FEMALE),74.88831
Uzbekistan,Life expectancy (at birth) (FEMALE),68.23325
Fiji,Life expectancy (at birth) (FEMALE),68.4288
Ghana,Life expectancy (at birth) (FEMALE),60.7991
Singapore,Life expectancy (at birth) (FEMALE),84.88934
Cambodia,Life expectancy (at birth) (FEMALE),71.88922
Solomon Islands,Life expectancy (at birth) (FEMALE),65.24473
Belarus,Life expectancy (at birth) (FEMALE),79.62104
Oman,Life expectancy (at birth) (FEMALE),71.52737
Malawi,Life expectancy (at birth) (FEMALE),59.24426
Western Pacific,Life expectancy (at birth) (FEMALE),80.83228
High-income economies,Life expectancy (at birth) (FEMALE),82.48982
Low-income economies,Life expectancy (at birth) (FEMALE),67.18551
Nigeria,Life expectancy (at birth) (FEMALE),60.78948
Paraguay,Life expectancy (at birth) (FEMALE),78.60267
Bahrain,Life expectancy (at birth) (FEMALE),75.34072
